district_code,subdistrict_code,village_code,village_name,num_households
204,1035,217682,Semra Tola Bhola,593
204,1035,217683,Semra Tola Hat,517
204,1035,217684,Semra Khas,505
204,1035,217685,Bhela Chhapra,348
204,1035,217686,Loknath Pur,275
204,1035,217687,Chailaha,3075
204,1035,217689,Tarkulwa,844
204,1035,217690,Banjaria (part),443
204,1035,217691,Banjaria,578
204,1035,217692,Singhia Sagar,426
204,1035,217693,Pipra,228
204,1035,217695,Ajgari,1407
204,1035,217696,Singia Hiban,593
204,1035,217697,Pakaria,195
204,1035,217698,Siswa,4804
204,1035,217699,Chitaha,743
204,1036,0,Narkatia,32955
204,1036,0,Narkatia,32955
204,1036,217700,Katkenwa,393
204,1036,217702,Mahuawa,644
204,1036,217703,Bindbasini,417
204,1036,217704,Hanuman nagar,240
204,1036,217705,Dharam Nagar,248
204,1036,217706,Dharhari,283
204,1036,217707,Belwa (Bhelwa),1082
204,1036,217708,Budhuaha,436
204,1036,217709,Lachhman Nagar,134
204,1036,217710,Baikunthwa,638
204,1036,217711,Narkatia,1459
204,1036,217712,Siswaniya,561
204,1036,217713,Rampur,820
204,1036,217714,Sihorwa,328
204,1036,217715,Bishunpur,368
204,1036,217716,Mathiya Birt,392
204,1036,217717,Jitpur,2149
204,1036,217718,Bhatanahiya,1120
204,1036,217719,Pakariya,532
204,1036,217720,Bathuahiya,296
204,1036,217721,Purainiya,1082
204,1036,217722,Laudiha,395
204,1036,217723,Tinkoni,2088
204,1036,217724,Raghunathpur,316
204,1036,217725,Baijnathpur,161
204,1036,217727,Rampur,155
204,1036,217728,Ekdari,1038
204,1036,217729,Darpa,2703
204,1036,217730,Masahi,469
204,1036,217731,Murli,410
204,1036,217732,Siripur,568
204,1036,217733,Kudarkat,1570
204,1036,217734,Bela,610
204,1036,217735,Khairwa,1005
204,1036,217736,Gonahi,276
204,1036,217737,Hirmani,1213
204,1036,217738,Parsotimpur,1139
204,1036,217739,Tola Banjari,183
204,1036,217740,Semrahiya,1028
204,1036,217741,Fatuha,335
204,1036,217742,Duho Suho,354
204,1036,217743,Pakaria,1160
204,1036,217744,Chainpur,346
204,1036,217745,Kataharia,251
204,1036,217747,Jainagar,328
204,1036,217750,Dhapahar Patti Hardiya,131
204,1036,217751,Dhapahar Patti Saraiya,101
204,1036,217752,Malahi,210
204,1036,217753,Juafar,669
204,1037,0,Bankatwa,20227
204,1037,0,Bankatwa,20227
204,1037,217754,Bijbani,5847
204,1037,217755,Jhanjhara,1255
204,1037,217756,Barhawa,394
204,1037,217757,Bankatwa,843
204,1037,217758,Balua Tola Dhanukhi,200
204,1037,217759,Dhanukhi,300
204,1037,217760,Jolahgawan,417
204,1037,217761,Sundarpur,205
204,1037,217763,Pipra,240
204,1037,217764,Jitpur,611
204,1037,217765,Siripur,224
204,1037,217768,Bela,316
204,1037,217769,KudarKat,366
204,1037,217770,Semri,811
204,1037,217771,Nimuia,4280
204,1037,217772,Pakariya,852
204,1037,217773,Majirwa,544
204,1037,217774,Jagirha Kamraula,434
204,1037,217775,Indarwa Phulwar,1099
204,1037,217776,Mathia Bhopat,989
204,1038,0,Ghorasahan,30396
204,1038,0,Ghorasahan,30396
204,1038,217777,Jharokhar,1675
204,1038,217778,Barwa Khurd,711
204,1038,217779,Amwa,1009
204,1038,217780,Bishunpur,822
204,1038,217782,Bhagwanpur Kotwa,1239
204,1038,217783,Ghorasahan urf  Kotwa,2712
204,1038,217784,Siripur urf Bhagwanpur,1545
204,1038,217785,Jamunia Kawaia,1954
204,1038,217786,Basantpur,774
204,1038,217787,Samanpur,1123
204,1038,217788,Khurahia,1312
204,1038,217789,Purnahia,1548
204,1038,217790,Kadamwa,1561
204,1038,217791,Rajwara,736
204,1038,217792,Bijai,1497
204,1038,217793,Barwa Kalan,831
204,1038,217794,Bakuliya,606
204,1038,217795,Ghughua,398
204,1038,217797,Champapur Sapaha,589
204,1038,217798,Champapur Koiriya,320
204,1038,217799,Bagahi Bhelwa,1612
204,1038,217800,Mohuahi Marshudabad,723
204,1038,217801,Nonaura,1091
204,1038,217802,Gurmia,1113
204,1038,217803,Laukhan,2361
204,1038,217804,Singhrahiya,534
204,1039,0,Dhaka,63681
204,1039,0,Dhaka,56410
204,1039,0,Dhaka,7271
204,1039,217805,Bikrampur,600
204,1039,217806,Tola Ramji Dube,827
204,1039,217807,Gahai,796
204,1039,217808,Bisambharpur,730
204,1039,217809,Karsahia,1919
204,1039,217810,Masaurha,714
204,1039,217811,Hasanpur,1231
204,1039,217812,Kharhua Chainpur,1636
204,1039,217813,Chand Mohan,739
204,1039,217814,Gawandari,1041
204,1039,217815,Hardiya,580
204,1039,217816,Sisahni,621
204,1039,217817,Jatwaliya,818
204,1039,217818,Gurganwan,337
204,1039,217819,Kharhui Bara Farid,566
204,1039,217820,Tilahra Kalan,1846
204,1039,217821,Barharwa,989
204,1039,217822,Telhara Khurd,199
204,1039,217823,Dostiya,858
204,1039,217824,Gurhanwa,738
204,1039,217825,Bhawanipur,457
204,1039,217826,Balua Tola Goapari,1359
204,1039,217827,Mahuawa Dostiya,610
204,1039,217828,Phulwariya,1340
204,1039,217829,Chandan Bara,1711
204,1039,217830,Barwa,1014
204,1039,217831,Kusmahwa,969
204,1039,217832,Karmawa,968
204,1039,217833,Saratha,841
204,1039,217834,Haruhani,585
204,1039,217835,Parri,997
204,1039,217836,Jamua,1543
204,1039,217837,Gamhariya,388
204,1039,217838,Parsa,876
204,1039,217839,Bahlolpur,1027
204,1039,217840,Bhagwanpur,987
204,1039,217841,Bakhri Khajuri,725
204,1039,217842,Jadopur Bakhri,758
204,1039,217843,Jadopur Nankar,271
204,1039,217844,Narkatiya,1369
204,1039,217845,Barharwa Siwan,1233
204,1039,217846,Raksa,969
204,1039,217847,Jhauwa Ram,933
204,1039,217848,Turkauliya,479
204,1039,217849,Sham Bakhri,297
204,1039,217850,Karmohna,236
204,1039,217851,Barharwa Lakhansen,2427
204,1039,217852,Chandrahia,259
204,1039,217853,Dalpat Bishunpur,566
204,1039,217854,Siswa Mangat,506
204,1039,217855,Sorpaniya,647
204,1039,217856,Mathia Mohan,490
204,1039,217857,Malkauniya,790
204,1039,217858,Garahia,664
204,1039,217859,Pach Pakri,2352
204,1039,217860,Rupauligopi,301
204,1039,217861,Rupaulia Khurd,468
204,1039,217862,Bhandar,3763
204,1039,217863,Jhitkkahi,1333
204,1039,217864,Basahia,521
204,1039,217865,Kharihaniya,596
204,1039,801284,Dhaka (NP),7271
204,1039,801284,Dhaka (NP) WARD NO.-0001,173
204,1039,801284,Dhaka (NP) WARD NO.-0002,426
204,1039,801284,Dhaka (NP) WARD NO.-0003,476
204,1039,801284,Dhaka (NP) WARD NO.-0004,261
204,1039,801284,Dhaka (NP) WARD NO.-0005,493
204,1039,801284,Dhaka (NP) WARD NO.-0006,398
204,1039,801284,Dhaka (NP) WARD NO.-0007,192
204,1039,801284,Dhaka (NP) WARD NO.-0008,125
204,1039,801284,Dhaka (NP) WARD NO.-0009,379
204,1039,801284,Dhaka (NP) WARD NO.-0010,260
204,1039,801284,Dhaka (NP) WARD NO.-0011,423
