district_code	subdistrict_code	village_code	village_name	num_households
209	1117	221888	Parbata	296
209	1117	221889	Mahesh Khunt	227
209	1117	221891	Bhorha	383
209	1117	221892	Sonapur	373
209	1117	221893	Lachhmipur	656
209	1117	221894	Goshainpur	140
209	1117	221895	Maigara	688
209	1117	221896	Mohiuddinpur	419
209	1117	221897	Khajurbari	452
209	1117	221898	Shankarpur	696
209	1117	221899	Shijhua	511
209	1117	221901	Kamladorha	1129
209	1117	221902	Hata Bakhri	160
209	1117	221903	Bakhri Milik	459
209	1117	221905	Dhowabari	712
209	1117	221908	Maratibpur	834
209	1117	221909	Kursakatta	964
209	1117	221910	Balchanda	538
209	1117	221911	Gausnagar	418
209	1117	221912	Harira	855
209	1117	221913	Rajaula	590
209	1117	221914	Sundari	677
209	1117	221915	Phasimagrabi and Phasimashraqi	740
209	1117	221916	Haripur	295
209	1117	221917	Banmali	152
209	1117	221918	Darha Pipra	185
209	1117	221919	Sisabari	178
209	1117	221920	Bhimpur Khar	130
209	1117	221921	Bhishunpur	179
209	1117	221922	Asura Kalan Khola	596
209	1117	221923	Kuari	1012
209	1117	221924	Katpahar	250
209	1117	221926	Soksanand Bhag Khutpur	334
209	1117	221927	Lolokhur	1560
209	1117	221928	Madhubani	540
209	1117	221929	Dumaria	709
209	1117	221930	Chaita	232
209	1117	221931	Asabhag	489
209	1117	221932	Batraha	298
209	1117	221933	Siktia	1087
209	1117	221934	Chikni	259
209	1117	221935	Paikdara	400
209	1117	221938	Phulbari	169
209	1117	221939	Palasbani	196
209	1117	221940	Karahia	191
209	1117	221942	Padaria	211
209	1117	221943	Birban	328
209	1117	221944	Sinwari	195
209	1117	221946	Parasi	567
209	1117	221947	Bhag Parasi	168
209	1117	221948	Kotahpur	623
209	1117	221949	Kolhua	210
209	1118	221950	Majrakh	682
209	1118	221952	Amgachhi	2016
209	1118	221953	Amgachhi Milik Arazi	221
209	1118	221955	Dahipura	202
209	1118	221956	Dainia	280
209	1118	221957	Khuthara Mashragi	473
209	1118	221958	Kuan Pokhar	678
209	1118	221960	Tera Khurdah	960
209	1118	221961	Pararia	155
209	1118	221962	Kauakoh	554
209	1118	221964	Thengpur Pipra	1167
209	1118	221965	Kabaia	121
209	1118	221968	Musanda	824
209	1118	221969	Dhengri	649
209	1118	221970	Bardaha	1307
209	1118	221971	Bhaptia	373
209	1118	221972	Khoragachhi	210
209	1118	221973	Khoragachhi	1597
209	1118	221974	Bhirbhiri	1431
209	1118	221975	Dithaura	186
209	1118	221977	Pahara	479
209	1118	221978	Muraripur	1029
209	1118	221979	Sikti	500
209	1118	221980	Pahara Sikti	190
209	1118	221981	Bokantari	1234
209	1118	221982	Saidabad	1394
209	1118	221983	Kuchaha	800
209	1118	221984	Saida Pokhar	222
209	1118	221985	Barahmasia Ranikatta	447
209	1118	221986	Barahmasia	555
209	1118	221987	Barahmasia Simalbani	850
209	1118	221988	Barahmasia Istamrar	205
209	1118	221989	Dipnagar	280
209	1118	221990	Pararia Ranikatta	418
209	1118	221991	Dahgawan	564
209	1118	221992	Paraia	1988
209	1118	221993	Singhia	620
209	1118	221994	Khoragachhi Milik	276
209	1118	221995	Aulabari	277
209	1118	221998	Darhua	1008
209	1118	221999	Bairgachhi	552
209	1118	222000	Sohagmara	367
209	1118	222001	Karahbari	461
209	1118	222002	Benga	427
209	1118	222003	Pothia	954
209	1118	222004	Ramnagar	478
209	1118	222005	Pipra	245
209	1118	222006	Belbari	236
209	1119	222007	Balua	2577
209	1119	222008	Bangawan	134
209	1119	222009	Belsari	601
209	1119	222010	Mahadeokol	676
209	1119	222011	Phulsara	588
209	1119	222012	Chauri	674
209	1119	222013	Deghli	920
209	1119	222014	Karor Deghli	623
209	1119	222015	Karor	584
209	1119	222016	Charbana	285
209	1119	222017	Pipra Bijwara	1349
209	1119	222018	Chhapania	543
209	1119	222019	Bhantabari	1105
209	1119	222020	Dharamganj Baghua	873
209	1119	222021	Manbodhtanda	171
209	1119	222022	Kankhudia	638
209	1119	222023	Gang Jhali	508
209	1119	222024	Baradbata	736
209	1119	222025	Bhatauja	583
